"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time [note 5] by body type [note 2], make, generic model and fuel type, Great Britain and United Kingdom from 2010 Q1 (January to March)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table VEH0171b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [c] = confidential.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography [note 3],Units,BodyType [note 2],Make [note 6],Generic model [note 6],Fuel,2022 Q4,2022 Q3,2022 Q2,2022 Q1,2021 Q4,2021 Q3,2021 Q2,2021 Q1,2020 Q4,2020 Q3,2020 Q2,2020 Q1,2019 Q4,2019 Q3,2019 Q2,2019 Q1,2018 Q4,2018 Q3,2018 Q2,2018 Q1,2017 Q4,2017 Q3,2017 Q2,2017 Q1,2016 Q4,2016 Q3,2016 Q2,2016 Q1,2015 Q4,2015 Q3,2015 Q2,2015 Q1,2014 Q4,2014 Q3,2014 Q2,2014 Q1,2013 Q4,2013 Q3,2013 Q2,2013 Q1,2012 Q4,2012 Q3,2012 Q2,2012 Q1,2011 Q4,2011 Q3,2011 Q2,2011 Q1,2010 Q4,2010 Q3,2010 Q2,2010 Q1
United Kingdom,Number,Cars,MG,MG 4,Battery electric,"2,470",521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,RENAULT,RENAULT ZOE,Battery electric,"2,274","1,395",993,"1,088","1,506","1,782","1,836",626,"1,886","3,072","1,136",266,216,646,773,745,696,454,402,429,220,326,285,343,279,413,459,609,939,348,464,302,559,234,114,108,128,107,131,10,1,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,BMW,BMW IX,Battery electric,"2,174","1,183","1,161",869,380,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLKSWAGEN,VOLKSWAGEN ID4,Battery electric,"2,156","1,092",879,"1,433","1,529","1,364","1,112",480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,SKODA,SKODA ENYAQ,Battery electric,"2,155","1,500",799,"1,075","1,541","1,321",389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,MG,MG ZS,Battery electric,"2,115","1,879","1,642",945,"1,448","1,390","1,350","1,191","1,562","1,800",431,"1,795",591,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,BMW,BMW IX3,Battery electric,"2,070","1,787","1,053","1,562","2,208",864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,CUPRA,CUPRA BORN,Battery electric,"2,017","1,821",702,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VAUXHALL,VAUXHALL MOKKA,Battery electric,"1,979","1,552","1,209","1,574","1,113",837,468,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLKSWAGEN,VOLKSWAGEN ID5,Battery electric,"1,974",689,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,PORSCHE,PORSCHE TAYCAN,Battery electric,"1,964",531,"1,128","1,435","1,653",554,915,896,"1,956",907,216,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,BMW,BMW 3 SERIES,Plug-in hybrid electric (petrol),"1,857","1,250","1,624","2,070","1,607","3,055","2,943","3,382","3,581","2,812",684,"2,331","3,503",988,1,1,0,"1,629","1,751","1,236","1,722","1,472","1,208","1,469",934,"1,091","1,143",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,AUDI,AUDI E-TRON,Battery electric,"1,855","1,590","2,078","1,265","2,010","2,212","2,177","1,505","2,295","2,309",569,726,364,333,352,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,KIA,KIA NIRO,Battery electric,"1,828","2,469","3,043","3,849","3,272","3,228","2,500","3,268","2,287","2,988",737,523,73,169,234,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,HYUNDAI,HYUNDAI IONIQ,Battery electric,"1,695","2,164","2,503","1,768","1,733","2,187",546,935,698,"1,195",408,434,89,172,66,146,136,136,84,87,66,25,116,43,62,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,MG,MG 5,Battery electric,"1,546","2,030","1,402","1,955","1,498","1,849",852,874,273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLVO,VOLVO XC40,Battery electric,"1,466",418,271,478,856,367,421,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLVO,VOLVO XC40,Plug-in hybrid electric (petrol),"1,463","1,085","1,096","2,072","1,712","1,312","1,848","1,473","1,452","1,576",234,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,MERCEDES,MERCEDES EQC CLASS,Battery electric,"1,408","1,253",625,"2,181","1,215",856,"1,120","1,059","2,094",761,121,122,103,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,PEUGEOT,PEUGEOT 2008,Battery electric,"1,366","1,256",946,"1,201","1,320","1,103","1,179","1,155","1,038",505,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,HYUNDAI,HYUNDAI KONA,Battery electric,"1,352","1,677","1,311","1,959","2,132","1,519","2,452","1,094","1,207","2,471",284,286,208,185,238,232,140,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLKSWAGEN,VOLKSWAGEN GOLF,Plug-in hybrid electric (petrol),"1,270",541,163,203,376,356,741,209,476,571,86,308,6,0,0,0,12,"1,210","1,464",648,"1,149",852,300,108,172,407,691,623,347,687,346,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,MERCEDES,MERCEDES EQA CLASS,Battery electric,"1,255",884,952,"1,603","2,055","2,058",802,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,RENAULT,RENAULT MEGANE,Battery electric,"1,180",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,BMW,BMW 5 SERIES,Plug-in hybrid electric (petrol),"1,081",414,346,641,385,358,594,775,350,367,123,478,"1,221",810,787,"1,537","2,962","1,261","1,494",854,801,776,376,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VOLVO,VOLVO C40,Battery electric,"1,015",273,165,461,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,VAUXHALL,VAUXHALL CORSA,Battery electric,977,759,"1,778",918,"1,425","1,390","1,561","1,231",937,"1,032",529,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,FORD,FORD MUSTANG MACH-E,Battery electric,955,"1,098",892,"1,552",669,"1,691",379,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,Number,Cars,LAND ROVER,LAND ROVER RANGE ROVER EVOQUE,Plug-in hybrid electric (petrol),955,"1,225",692,"1,295",987,"1,096",932,"1,520","1,163",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
