"Ultra low emission vehicles (ULEVs) [note 1] registered for the first time by body type [note 2] and fuel type, Great Britain and United Kingdom from January 2010",,,,,,,,,,,,,
Table VEH0171a,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet. ,,,,,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [low] = a low figure but not a real zero.",,,,,,,,,,,,,
Geography [note 3],Date Interval [note 4],Date [note 4],Units,BodyType [note 2],Battery Electric,Plug-in hybrid electric (petrol),Plug-in hybrid electric (diesel),Range extended electric,Hybrid electric (petrol),Hybrid electric (diesel),Fuel cell electric,Other fuels,Total
England,Monthly,June 2018,Number,Buses and coaches,18,0,0,0,0,0,0,0,18
England,Monthly,July 2018,Number,Buses and coaches,11,0,0,0,0,0,0,0,11
England,Monthly,August 2018,Number,Buses and coaches,20,0,0,0,0,0,0,0,20
England,Monthly,September 2018,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,October 2018,Number,Buses and coaches,4,0,0,0,0,0,0,0,4
England,Monthly,November 2018,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,December 2018,Number,Buses and coaches,9,0,0,0,0,0,0,0,9
England,Monthly,January 2019,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,February 2019,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,March 2019,Number,Buses and coaches,0,0,0,0,0,0,1,0,1
England,Monthly,April 2019,Number,Buses and coaches,1,0,0,0,0,0,0,0,1
England,Monthly,May 2019,Number,Buses and coaches,7,0,0,0,0,0,0,0,7
England,Monthly,June 2019,Number,Buses and coaches,14,0,0,0,0,0,0,0,14
England,Monthly,July 2019,Number,Buses and coaches,37,0,0,0,0,0,0,0,37
England,Monthly,August 2019,Number,Buses and coaches,18,0,0,0,0,0,0,0,18
England,Monthly,September 2019,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,October 2019,Number,Buses and coaches,5,0,0,0,0,0,0,0,5
England,Monthly,November 2019,Number,Buses and coaches,8,0,0,0,0,0,0,0,8
England,Monthly,December 2019,Number,Buses and coaches,21,0,0,0,0,0,0,0,21
England,Monthly,January 2020,Number,Buses and coaches,37,0,0,0,0,0,0,0,37
England,Monthly,February 2020,Number,Buses and coaches,35,0,0,0,0,0,0,0,35
England,Monthly,March 2020,Number,Buses and coaches,83,0,0,0,0,0,0,0,83
England,Monthly,April 2020,Number,Buses and coaches,14,0,0,0,0,0,0,0,14
England,Monthly,May 2020,Number,Buses and coaches,11,0,0,0,0,0,0,0,11
England,Monthly,June 2020,Number,Buses and coaches,13,0,0,0,0,0,0,0,13
England,Monthly,July 2020,Number,Buses and coaches,2,0,0,0,0,0,0,0,2
England,Monthly,August 2020,Number,Buses and coaches,13,0,0,0,0,0,0,0,13
England,Monthly,September 2020,Number,Buses and coaches,7,0,0,0,0,0,0,0,7
England,Monthly,October 2020,Number,Buses and coaches,12,0,0,0,0,0,0,0,12
England,Monthly,November 2020,Number,Buses and coaches,35,0,0,0,0,0,0,0,35
England,Monthly,December 2020,Number,Buses and coaches,13,0,0,0,0,0,1,0,14
England,Monthly,January 2021,Number,Buses and coaches,15,0,0,0,0,0,0,0,15
England,Monthly,February 2021,Number,Buses and coaches,30,0,0,0,0,0,16,0,46
England,Monthly,March 2021,Number,Buses and coaches,31,0,0,0,0,0,0,0,31
England,Monthly,April 2021,Number,Buses and coaches,26,0,0,0,0,0,0,0,26
England,Monthly,May 2021,Number,Buses and coaches,11,0,0,0,0,0,0,0,11
England,Monthly,June 2021,Number,Buses and coaches,15,0,0,0,0,0,2,0,17
England,Monthly,July 2021,Number,Buses and coaches,8,0,0,0,0,0,0,0,8
England,Monthly,August 2021,Number,Buses and coaches,11,0,0,0,0,0,18,0,29
England,Monthly,September 2021,Number,Buses and coaches,50,0,0,0,0,0,1,0,51
England,Monthly,October 2021,Number,Buses and coaches,47,0,0,0,0,0,1,0,48
England,Monthly,November 2021,Number,Buses and coaches,75,0,0,0,0,0,0,0,75
England,Monthly,December 2021,Number,Buses and coaches,27,0,0,0,0,0,0,0,27
England,Monthly,January 2022,Number,Buses and coaches,30,0,0,0,0,0,0,0,30
England,Monthly,February 2022,Number,Buses and coaches,45,0,0,0,0,0,0,0,45
England,Monthly,March 2022,Number,Buses and coaches,22,0,0,0,0,0,0,0,22
England,Monthly,April 2022,Number,Buses and coaches,12,0,0,0,0,0,0,0,12
England,Monthly,May 2022,Number,Buses and coaches,22,0,0,0,0,0,0,0,22
England,Monthly,June 2022,Number,Buses and coaches,10,0,0,0,0,0,0,0,10
England,Monthly,July 2022,Number,Buses and coaches,17,0,0,0,0,0,0,0,17
England,Monthly,August 2022,Number,Buses and coaches,39,0,0,0,0,0,0,0,39
England,Monthly,September 2022,Number,Buses and coaches,38,0,0,0,0,0,0,0,38
England,Monthly,October 2022,Number,Buses and coaches,49,0,0,0,0,0,0,0,49
England,Monthly,November 2022,Number,Buses and coaches,50,0,0,0,0,0,0,0,50
England,Monthly,December 2022,Number,Buses and coaches,65,0,0,0,0,0,0,0,65
England,Annual,2010,Number,Cars,234,21,0,0,0,0,0,1,256
England,Annual,2011,Number,Cars,"1,079",3,0,4,0,23,0,1,"1,110"
England,Annual,2012,Number,Cars,"1,363",440,0,479,0,0,5,1,"2,288"
England,Annual,2013,Number,Cars,"2,399",556,70,362,3,0,0,0,"3,390"
England,Annual,2014,Number,Cars,"5,948","5,855",150,"1,253",0,0,6,1,"13,213"
England,Annual,2015,Number,Cars,"8,911","15,391",128,"1,644",1,0,12,0,"26,087"
England,Annual,2016,Number,Cars,"9,316","23,194",333,"1,859","2,845",0,10,0,"37,557"
England,Annual,2017,Number,Cars,"12,317","28,798",463,"2,332","3,499",0,33,0,"47,442"
England,Annual,2018,Number,Cars,"14,181","38,080",205,"2,038",747,1,37,0,"55,289"
England,Annual,2019,Number,Cars,"34,151","30,743","1,008",237,1,0,76,1,"66,217"
England,Annual,2020,Number,Cars,"97,059","55,369","2,722",16,2,1,58,3,"1,55,230"
England,Annual,2021,Number,Cars,"1,73,648","95,450","3,759",2,6,1,12,0,"2,72,878"
England,Annual,2022,Number,Cars,"2,42,702","84,596","2,095",16,96,0,8,0,"3,29,513"
England,Quarterly,2010 Q1 (January to March),Number,Cars,33,0,0,0,0,0,0,0,33
England,Quarterly,2010 Q2 (April to June),Number,Cars,54,20,0,0,0,0,0,0,74
England,Quarterly,2010 Q3 (July to September),Number,Cars,61,0,0,0,0,0,0,0,61
England,Quarterly,2010 Q4 (October to December),Number,Cars,86,1,0,0,0,0,0,1,88
England,Quarterly,2011 Q1 (January to March),Number,Cars,288,3,0,0,0,0,0,0,291
England,Quarterly,2011 Q2 (April to June),Number,Cars,324,0,0,0,0,0,0,0,324
England,Quarterly,2011 Q3 (July to September),Number,Cars,318,0,0,0,0,0,0,1,319
England,Quarterly,2011 Q4 (October to December),Number,Cars,149,0,0,4,0,23,0,0,176
England,Quarterly,2012 Q1 (January to March),Number,Cars,308,0,0,23,0,0,0,1,332
England,Quarterly,2012 Q2 (April to June),Number,Cars,317,30,0,216,0,0,0,0,563
England,Quarterly,2012 Q3 (July to September),Number,Cars,227,293,0,137,0,0,5,0,662
England,Quarterly,2012 Q4 (October to December),Number,Cars,511,117,0,103,0,0,0,0,731
England,Quarterly,2013 Q1 (January to March),Number,Cars,358,167,12,87,0,0,0,0,624
England,Quarterly,2013 Q2 (April to June),Number,Cars,667,109,23,65,0,0,0,0,864
England,Quarterly,2013 Q3 (July to September),Number,Cars,724,156,16,74,0,0,0,0,970
England,Quarterly,2013 Q4 (October to December),Number,Cars,650,124,19,136,3,0,0,0,932
England,Quarterly,2014 Q1 (January to March),Number,Cars,"1,107",154,50,281,0,0,0,0,"1,592"
England,Quarterly,2014 Q2 (April to June),Number,Cars,"1,176",575,55,264,0,0,0,0,"2,070"
England,Quarterly,2014 Q3 (July to September),Number,Cars,"1,741","2,237",21,276,0,0,3,1,"4,279"
England,Quarterly,2014 Q4 (October to December),Number,Cars,"1,924","2,889",24,432,0,0,3,0,"5,272"
England,Quarterly,2015 Q1 (January to March),Number,Cars,"2,351","5,032",43,507,0,0,1,0,"7,934"
England,Quarterly,2015 Q2 (April to June),Number,Cars,"1,814","3,373",35,280,0,0,0,0,"5,502"
England,Quarterly,2015 Q3 (July to September),Number,Cars,"2,061","3,499",27,362,1,0,4,0,"5,954"
England,Quarterly,2015 Q4 (October to December),Number,Cars,"2,685","3,487",23,495,0,0,7,0,"6,697"
England,Quarterly,2016 Q1 (January to March),Number,Cars,"2,839","6,901",34,426,349,0,5,0,"10,554"
England,Quarterly,2016 Q2 (April to June),Number,Cars,"1,921","5,708",42,282,860,0,3,0,"8,816"
England,Quarterly,2016 Q3 (July to September),Number,Cars,"2,563","5,791",130,629,764,0,1,0,"9,878"
England,Quarterly,2016 Q4 (October to December),Number,Cars,"1,993","4,794",127,522,872,0,1,0,"8,309"
England,Quarterly,2017 Q1 (January to March),Number,Cars,"4,138","6,223",114,666,"1,052",0,18,0,"12,211"
England,Quarterly,2017 Q2 (April to June),Number,Cars,"2,749","6,010",144,544,735,0,3,0,"10,185"
England,Quarterly,2017 Q3 (July to September),Number,Cars,"3,097","8,261",103,634,856,0,9,0,"12,960"
England,Quarterly,2017 Q4 (October to December),Number,Cars,"2,333","8,304",102,488,856,0,3,0,"12,086"
England,Quarterly,2018 Q1 (January to March),Number,Cars,"3,694","8,785",100,319,559,0,1,0,"13,458"
England,Quarterly,2018 Q2 (April to June),Number,Cars,"3,153","9,985",66,341,141,0,29,0,"13,715"
England,Quarterly,2018 Q3 (July to September),Number,Cars,"3,491","10,013",32,665,45,1,0,0,"14,247"
England,Quarterly,2018 Q4 (October to December),Number,Cars,"3,843","9,297",7,713,2,0,7,0,"13,869"
England,Quarterly,2019 Q1 (January to March),Number,Cars,"5,295","7,501",127,193,0,0,25,0,"13,141"
England,Quarterly,2019 Q2 (April to June),Number,Cars,"5,639","5,778",213,11,0,0,9,0,"11,650"
England,Quarterly,2019 Q3 (July to September),Number,Cars,"11,536","6,915",270,26,1,0,28,0,"18,776"
England,Quarterly,2019 Q4 (October to December),Number,Cars,"11,681","10,549",398,7,0,0,14,1,"22,650"
